# experiment P-59 (R-057)
# hypothesis: M-341 measured that a Lipschitz interval bound prunes a 64-brush tape to a median of 19 survivors per chunk with the mesh byte-identical on 64 of 64 chunks. Nothing measures how many survivors are NECESSARY. Leave-one-out ablation decides it: for each chunk, for each surviving brush, remove that one brush, re-mesh, and compare mesh_hash. (C1) SOUNDNESS CONTROL, REPORTED FIRST -- removing ALL non-survivors together changes no chunk's mesh_hash, 64 of 64, re-confirming M-341's C3 on this harness; if it fails, the bound is unsound and every other number here is void. (C2) the bound OVER-KEEPS: the median over chunks of necessary / survivors is AT MOST 0.75, i.e. at least a quarter of surviving brushes can be dropped individually with the mesh bit-identical. (C3) the over-keep has a nameable cause rather than being noise: of the brushes that survive but prove unnecessary, at least 90% have an interval over the chunk whose distance from zero exceeds one cell size -- they win the min/max chain only where the field is far from the surface.
# falsified by: C2's median exceeding 0.75, which says the interval bound is already close to tight and closes the direction with a distribution rather than a hunch -- a null worth having; or C3 under 90%, which means the over-keep is not explained by distance-from-surface and the mechanism is unnamed.
# commit f55416c (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-24T03:43:41Z
chunk,brushes,survivors,necessary,necessary_fraction,non_survivors_removed,control_hash_unchanged,unnecessary_far_from_surface,unnecessary_far_fraction,mesh_hash,remeshes,ns_per_remesh,c1_control_all_unchanged,c1_control_failures,c2_bound,c2_median_at_most_bound,c2_necessary_fraction_max,c2_necessary_fraction_median,c2_necessary_fraction_median_nonempty,c2_necessary_fraction_min,c3_bound,c3_far_at_least_bound,c3_far_fraction,c3_far_fraction_nonempty,cell_size,chunks_measured,dominant_adds,empty_chunks,far_survivors,fixture_matches_m341,joint_drop_chunks_unchanged,m341_median_survivors,mesh_hash_full_tape,mesh_hash_necessary_only,necessary_only_hash_unchanged,samples_per_axis,survivors_median,total_necessary,total_remeshes,total_survivors,total_unnecessary,total_unnecessary_far,triangles,unnecessary,unnecessary_far_by_hi,unnecessary_far_by_lo,vertices
1-3-2,64,3,0,0.000000000,61,true,3,1.000000000,11250698637386062875,4,4358250.0,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,3,true,64,19,11250698637386062875,11250698637386062875,true,33,19.0000,73,1571,1507,1434,1218,3227,3,0,3,1694
2-3-2,64,1,0,0.000000000,63,true,1,1.000000000,2713981204834751976,2,7458384.0,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,1,true,64,19,2713981204834751976,2713981204834751976,true,33,19.0000,73,1571,1507,1434,1218,3227,1,0,1,1694
3-3-2,64,1,0,0.000000000,63,true,1,1.000000000,12466477682786997079,2,5805610.0,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,1,true,64,19,12466477682786997079,12466477682786997079,true,33,19.0000,73,1571,1507,1434,1218,173,1,0,1,110
0-0-3,64,26,0,0.000000000,38,true,26,1.000000000,9354609568656401157,27,4512608.2,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,26,true,64,19,9354609568656401157,9354609568656401157,true,33,19.0000,73,1571,1507,1434,1218,0,26,0,26,0
1-0-3,64,18,0,0.000000000,46,true,18,1.000000000,3483282813690127896,19,3623257.1,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,18,true,64,19,3483282813690127896,3483282813690127896,true,33,19.0000,73,1571,1507,1434,1218,173,18,0,18,110
2-0-3,64,10,0,0.000000000,54,true,10,1.000000000,192186700851392625,11,2731961.8,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,10,true,64,19,192186700851392625,192186700851392625,true,33,19.0000,73,1571,1507,1434,1218,173,10,0,10,110
3-0-3,64,4,0,0.000000000,60,true,4,1.000000000,9354609568656401157,5,2906043.0,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,4,true,64,19,9354609568656401157,9354609568656401157,true,33,19.0000,73,1571,1507,1434,1218,0,4,0,4,0
0-1-3,64,21,0,0.000000000,43,true,21,1.000000000,14800807456871602105,22,3801259.2,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,21,true,64,19,14800807456871602105,14800807456871602105,true,33,19.0000,73,1571,1507,1434,1218,173,21,0,21,110
1-1-3,64,11,0,0.000000000,53,true,11,1.000000000,13043964130453840592,12,3496643.5,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,11,true,64,19,13043964130453840592,13043964130453840592,true,33,19.0000,73,1571,1507,1434,1218,3227,11,0,11,1694
2-1-3,64,4,0,0.000000000,60,true,4,1.000000000,3237238041562018900,5,3796314.8,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,4,true,64,19,3237238041562018900,3237238041562018900,true,33,19.0000,73,1571,1507,1434,1218,3227,4,0,4,1694
