# experiment P-79 (R-079)
# hypothesis: EPIC'S OWN ANSWER TO DEFORMING GEOMETRY WAS TO STOP CACHING. The Fortnite virtual-shadow-map write-up gives exactly one quantitative figure -- a light-loop optimisation from 1.56 ms to 1.08 ms -- and describes invalidation qualitatively: sun movement causes 'quite significant shadow page table changes frame to frame', animated deformation invalidates pages, and directional sun shadows were left uncached. FOR A WORLD WHERE THE GEOMETRY IS BEING DUG AWAY THAT IS THE RELEVANT PRECEDENT AND THE NUMBER IS MISSING FROM THE LITERATURE ENTIRELY. (C1) In game_dig with a cached shadow atlas, one brush stroke invalidates a page count proportional to the brush's PROJECTED area from the light, with a constant under 3 -- not to the brush volume and not to the scene. (C2) Invalidating only the pages the brush's light-space bounding volume touches produces a PIXEL- IDENTICAL shadow to a full re-render, on all eight reference fields. (C3) The saving is worth having: cached-with-invalidation beats uncached by at least 2x in shadow cost under a continuous dig at game_dig's throttled 12.5 strokes per second. SHARE: C3 moves the shadow rendering stage only.
# falsified by: C1 by a constant above 3, or by scene-proportional invalidation. C2 by any pixel difference, which would mean the conservative bound is wrong and localised invalidation is unsound. C3 by under 2x, which vindicates Epic's decision and closes the direction with a number they did not publish. VACUITY CONTROL: the light must be positioned so the brush casts a shadow into the visible frame, asserted by a non-zero changed-pixel count on the full-re-render arm.
# commit 02ffe13 on amd-ryzen-9-5900x-12-core at 2026-08-28T00:52:03Z
field,light_direction,brush_volume_cells,brush_projected_area,pages_invalidated,invalidation_constant,changed_pixels_full,changed_pixels_localised,shadow_ms_cached,shadow_ms_uncached,stroke_rate_hz,c1_holds,c2_holds,c3_holds,arm,arm_index,brush_projected_area_pages,brush_radius_cells,brush_radius_world,buried_clearance_cells,cell_size_world,changed_pixels_outside_dilated_disc,changed_pixels_outside_sound_disc,changed_pixels_outside_tight_disc,cpu_mhz,excess_in_cell_diagonals,frame_covered_texels,invalidation_constant_sound,invalidation_constant_tight,light_dx,light_dy,light_dz,max_change_excess_cells,page_cells,page_texels,pages_fraction,pages_invalidated_sound,pages_invalidated_tight,pages_per_projected_area_cell,pages_per_volume_cell,pages_total,pixel_diff_localised_vs_full,pixel_diff_sound,ratio_per_stroke,ratio_per_stroke_sound,shadow_ms_full_pass,shadow_ms_localised_pass,shadow_ms_sound_pass,shadow_texels,sound_dilate_cells,texel_size_world,texels_per_cell,triangles_base,triangles_dug
sphere,oblique,2144.6606,201.0619,36,2.8648,15159,15159,14.85601,24.76522,12.5,true,true,false,dig,1,12.566371,8.0000,0.500000,0.0000,0.062500,148,0,2307,4197.4,0.8949,51408,2.8648,1.9894,0.597022,-0.696526,0.398015,1.5500,4.0000,32,0.04591837,36,25,0.179049,0.016786,784,0,0,1.6670,1.6698,1.98122,1.18848,1.18653,896,3.4641,0.007812,8,9512,9736
sphere,oblique,2144.6606,201.0619,16,5.0930,15159,15159,23.45885,24.76522,12.5,false,true,false,dig,1,3.141593,8.0000,0.500000,0.0000,0.062500,148,0,2307,4197.4,0.8949,51408,5.0930,2.8648,0.597022,-0.696526,0.398015,1.5500,8.0000,64,0.08163265,16,9,0.079577,0.007460,196,0,0,1.0557,1.0582,1.98122,1.87671,1.87219,896,3.4641,0.007812,8,9512,9736
sphere,oblique,2144.6606,201.0619,9,11.4592,15159,15159,23.51398,24.76522,12.5,false,true,false,dig,1,0.785398,8.0000,0.500000,0.0000,0.062500,148,0,2307,4197.4,0.8949,51408,11.4592,5.0930,0.597022,-0.696526,0.398015,1.5500,16.0000,128,0.18367347,9,4,0.044762,0.004196,49,0,0,1.0532,1.0510,1.98122,1.88112,1.88507,896,3.4641,0.007812,8,9512,9736
sphere,oblique,17157.2847,804.2477,324,1.6114,41845,41845,23.01635,24.12085,12.5,true,true,false,dig,2,201.061930,16.0000,1.000000,0.0000,0.062500,0,0,0,4197.4,-0.6232,51408,1.9894,1.4374,0.597022,-0.696526,0.398015,-1.0794,2.0000,16,0.10331633,400,289,0.402861,0.018884,3136,0,0,1.0480,1.0469,1.92967,1.84131,1.84314,896,3.4641,0.007812,8,9512,9388
sphere,oblique,17157.2847,804.2477,100,1.9894,41845,41845,22.96309,24.12085,12.5,true,true,false,dig,2,50.265482,16.0000,1.000000,0.0000,0.062500,0,0,0,4197.4,-0.6232,51408,1.9894,1.6114,0.597022,-0.696526,0.398015,-1.0794,4.0000,32,0.12755102,100,81,0.124340,0.005828,784,0,0,1.0504,1.0519,1.92967,1.83705,1.83438,896,3.4641,0.007812,8,9512,9388
sphere,oblique,17157.2847,804.2477,36,2.8648,41845,41845,23.26934,24.12085,12.5,true,true,false,dig,2,12.566371,16.0000,1.000000,0.0000,0.062500,0,0,0,4197.4,-0.6232,51408,2.8648,1.9894,0.597022,-0.696526,0.398015,-1.0794,8.0000,64,0.18367347,36,25,0.044762,0.002098,196,0,0,1.0366,1.0464,1.92967,1.86155,1.84408,896,3.4641,0.007812,8,9512,9388
sphere,oblique,17157.2847,804.2477,9,2.8648,41845,41845,23.03748,24.12085,12.5,true,true,false,dig,2,3.141593,16.0000,1.000000,0.0000,0.062500,0,0,0,4197.4,-0.6232,51408,2.8648,2.8648,0.597022,-0.696526,0.398015,-1.0794,16.0000,128,0.18367347,9,9,0.011191,0.000525,49,0,0,1.0470,1.0497,1.92967,1.84300,1.83826,896,3.4641,0.007812,8,9512,9388
sphere,grazing,33.5103,12.5664,16,5.0930,1677,1677,2.60640,24.07511,12.5,false,true,true,dig,0,3.141593,2.0000,0.125000,0.0000,0.062500,195,0,881,4197.4,1.1423,51416,11.4592,2.8648,0.838444,-0.209611,0.503066,1.9785,2.0000,16,0.00510204,36,9,1.273240,0.477465,3136,0,0,9.2369,6.3303,1.92601,0.20851,0.30425,896,3.4641,0.007812,8,9512,9536
sphere,grazing,33.5103,12.5664,4,5.0930,1677,1677,2.45777,24.07511,12.5,false,true,true,dig,0,0.785398,2.0000,0.125000,0.0000,0.062500,195,0,881,4197.4,1.1423,51416,20.3718,5.0930,0.838444,-0.209611,0.503066,1.9785,4.0000,32,0.00510204,16,4,0.318310,0.119366,784,0,0,9.7955,4.0255,1.92601,0.19662,0.47845,896,3.4641,0.007812,8,9512,9536
sphere,grazing,33.5103,12.5664,4,20.3718,1677,1677,5.82543,24.07511,12.5,false,true,true,dig,0,0.196350,2.0000,0.125000,0.0000,0.062500,195,0,881,4197.4,1.1423,51416,20.3718,20.3718,0.838444,-0.209611,0.503066,1.9785,8.0000,64,0.02040816,4,4,0.318310,0.119366,196,0,0,4.1328,4.1014,1.92601,0.46603,0.46959,896,3.4641,0.007812,8,9512,9536
sphere,grazing,33.5103,12.5664,1,20.3718,1677,1677,5.86169,24.07511,12.5,false,true,true,dig,0,0.049087,2.0000,0.125000,0.0000,0.062500,195,0,881,4197.4,1.1423,51416,20.3718,20.3718,0.838444,-0.209611,0.503066,1.9785,16.0000,128,0.02040816,1,1,0.079577,0.029842,49,0,0,4.1072,4.0949,1.92601,0.46894,0.47035,896,3.4641,0.007812,8,9512,9536
sphere,grazing,2144.6606,201.0619,100,1.9894,15118,15118,9.70534,24.70960,12.5,true,true,true,dig,1,50.265482,8.0000,0.500000,0.0000,0.062500,130,0,2269,4197.4,0.9438,51416,2.8648,1.6114,0.838444,-0.209611,0.503066,1.6347,2.0000,16,0.03188776,144,81,0.497359,0.046627,3136,0,0,2.5460,1.6878,1.97677,0.77643,1.17122,896,3.4641,0.007812,8,9512,9748
sphere,grazing,2144.6606,201.0619,36,2.8648,15118,15118,14.60889,24.70960,12.5,true,true,false,dig,1,12.566371,8.0000,0.500000,0.0000,0.062500,130,0,2269,4197.4,0.9438,51416,2.8648,1.9894,0.838444,-0.209611,0.503066,1.6347,4.0000,32,0.04591837,36,25,0.179049,0.016786,784,0,0,1.6914,1.6887,1.97677,1.16871,1.17061,896,3.4641,0.007812,8,9512,9748
