# experiment P-13 (R-006)
# hypothesis: M-66's non-convergent angle is bounded below by the dihedral angle of the feature, so it is a property of sharp edges rather than of resolution and is predictable from the field.
# falsified by: The angle failing to track the dihedral prediction, which makes it a defect with a location rather than a property.
# commit ddee724 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-16T06:27:38Z
dihedral_deg,samples,measured_angle_deg,predicted_angle_deg,apex,cell_size,extractor,inverted_offsurface_cells,inverted_vertices,mean_angle_deg,median_angle_deg,p99_angle_deg,rotation_deg,triangles,vertices_counted
60.0,129,60.0000,60.0000,aligned,3.12500000000000000e-2,marching_cubes,0.0000,0,3.8374,0.0000,60.0000,0,77312,37973
60.0,129,60.0446,60.0000,aligned,3.12500000000000000e-2,dual_contouring,0.0000,0,3.8415,0.0000,60.0000,0,76454,37548
60.0,17,60.0000,60.0000,offset,2.50000000000000000e-1,marching_cubes,0.0000,0,3.5080,0.0000,60.0000,0,1120,480
60.0,17,37.8621,60.0000,offset,2.50000000000000000e-1,dual_contouring,0.0000,0,2.9122,0.0000,37.8621,0,1020,434
60.0,33,60.0000,60.0000,offset,1.25000000000000000e-1,marching_cubes,0.0000,0,3.3179,0.0000,60.0000,0,4672,2170
60.0,33,60.0000,60.0000,offset,1.25000000000000000e-1,dual_contouring,0.0000,0,1.7650,0.0000,60.0000,0,4464,2070
60.0,65,60.0000,60.0000,offset,6.25000000000000000e-2,marching_cubes,0.0000,0,3.5451,0.0000,60.0000,0,18944,9198
60.0,65,60.0000,60.0000,offset,6.25000000000000000e-2,dual_contouring,0.0000,0,3.3205,0.0000,60.0000,0,18522,8990
60.0,129,60.0000,60.0000,offset,3.12500000000000000e-2,marching_cubes,0.0000,0,3.0100,0.0000,60.0000,0,76544,37846
60.0,129,60.0439,60.0000,offset,3.12500000000000000e-2,dual_contouring,0.0000,0,2.8634,0.0000,60.0000,0,75692,37422
60.0,17,60.0000,60.0000,aligned,2.50000000000000000e-1,marching_cubes,0.0000,0,7.3916,0.0000,60.0000,17,928,405
60.0,17,60.0051,60.0000,aligned,2.50000000000000000e-1,dual_contouring,0.0000,0,5.6969,0.0611,60.0051,17,840,364
60.0,33,60.0000,60.0000,aligned,1.25000000000000000e-1,marching_cubes,0.0000,0,6.9826,0.0000,60.0000,17,3776,1767
60.0,33,60.0051,60.0000,aligned,1.25000000000000000e-1,dual_contouring,0.0000,0,3.6667,0.0000,60.0051,17,3596,1680
60.0,65,60.0000,60.0000,aligned,6.25000000000000000e-2,marching_cubes,0.0000,0,7.1937,0.0000,60.0000,17,15360,7371
60.0,65,60.0000,60.0000,aligned,6.25000000000000000e-2,dual_contouring,0.0000,0,3.8341,0.0000,60.0000,17,14994,7192
60.0,129,60.0000,60.0000,aligned,3.12500000000000000e-2,marching_cubes,0.0000,0,6.8912,0.0000,60.0000,17,61696,30226
60.0,129,60.0375,60.0000,aligned,3.12500000000000000e-2,dual_contouring,0.0000,0,4.9974,0.0350,60.0000,17,60960,29862
60.0,17,92.1265,60.0000,offset,2.50000000000000000e-1,marching_cubes,0.0822,15,11.6546,0.0000,92.1265,17,928,390
60.0,17,60.0000,60.0000,offset,2.50000000000000000e-1,dual_contouring,0.0000,0,7.8436,0.0491,60.0000,17,840,350
60.0,33,92.1265,60.0000,offset,1.25000000000000000e-1,marching_cubes,0.0822,31,11.8951,0.0000,92.1265,17,3712,1767
60.0,33,65.5780,60.0000,offset,1.25000000000000000e-1,dual_contouring,0.0000,0,7.3325,0.0790,65.5780,17,3534,1680
60.0,65,92.1265,60.0000,offset,6.25000000000000000e-2,marching_cubes,0.0822,63,9.1599,0.0000,60.0000,17,15232,7371
60.0,65,73.8410,60.0000,offset,6.25000000000000000e-2,dual_contouring,0.0000,0,7.9130,0.0443,65.5780,17,14868,7192
60.0,129,92.1265,60.0000,offset,3.12500000000000000e-2,marching_cubes,0.0822,127,10.0717,0.0000,60.0000,17,61440,30226
60.0,129,60.0486,60.0000,offset,3.12500000000000000e-2,dual_contouring,0.0000,0,6.4756,0.0352,60.0000,17,60706,29862
60.0,17,60.0000,60.0000,aligned,2.50000000000000000e-1,marching_cubes,0.0000,0,8.8878,0.0000,60.0000,37,736,315
60.0,17,63.0793,60.0000,aligned,2.50000000000000000e-1,dual_contouring,0.0000,0,8.3695,0.0565,63.0793,37,660,280
60.0,33,60.0000,60.0000,aligned,1.25000000000000000e-1,marching_cubes,0.0000,0,6.6662,0.0000,60.0000,37,3008,1426
60.0,33,63.0793,60.0000,aligned,1.25000000000000000e-1,dual_contouring,0.0000,0,6.7129,0.0000,63.0793,37,2852,1350
60.0,65,60.0000,60.0000,aligned,6.25000000000000000e-2,marching_cubes,0.0000,0,5.6942,0.0000,60.0000,37,12416,6048
60.0,65,63.0793,60.0000,aligned,6.25000000000000000e-2,dual_contouring,0.0000,0,4.2254,0.0000,63.0793,37,12096,5890
60.0,129,60.0000,60.0000,aligned,3.12500000000000000e-2,marching_cubes,0.0000,0,7.2002,0.0000,60.0000,37,50432,24765
60.0,129,60.0454,60.0000,aligned,3.12500000000000000e-2,dual_contouring,0.0000,0,4.3522,0.0221,60.0000,37,49784,24444
60.0,17,60.0000,60.0000,offset,2.50000000000000000e-1,marching_cubes,0.0000,0,13.1268,0.0000,60.0000,37,736,330
60.0,17,59.8447,60.0000,offset,2.50000000000000000e-1,dual_contouring,0.0000,0,9.4341,0.1117,59.8447,37,660,294
60.0,33,60.0000,60.0000,offset,1.25000000000000000e-1,marching_cubes,0.0000,0,12.7354,0.0000,60.0000,37,3136,1457
60.0,33,81.3209,60.0000,offset,1.25000000000000000e-1,dual_contouring,0.0000,0,4.8798,0.0961,81.3209,37,2976,1380
60.0,65,60.0000,60.0000,offset,6.25000000000000000e-2,marching_cubes,0.0000,0,12.8203,0.0000,60.0000,37,12544,6111
60.0,65,81.3209,60.0000,offset,6.25000000000000000e-2,dual_contouring,0.0000,0,6.8772,0.0961,81.3209,37,12222,5952
60.0,129,60.0000,60.0000,offset,3.12500000000000000e-2,marching_cubes,0.0000,0,10.3860,0.0000,60.0000,37,50688,24892
60.0,129,60.0000,60.0000,offset,3.12500000000000000e-2,dual_contouring,0.0000,0,5.4961,0.0383,60.0000,37,50038,24570
90.0,17,45.0000,45.0000,aligned,2.50000000000000000e-1,marching_cubes,0.0000,0,1.5517,0.0000,45.0000,0,1024,435
90.0,17,26.5628,45.0000,aligned,2.50000000000000000e-1,dual_contouring,0.0000,0,0.9537,0.0000,26.5628,0,930,392
