field,resolution,scalar,cells,sign_disagreements_f32,sign_disagreements_f64,disagreement_rate,exact_ms,float_ms,overhead_ratio,filtered_fallback_rate,triangles_changed,nonmanifold_delta,c1_holds,c2_holds,c3_holds,ambiguous_cell_rate,ambiguous_cells,below_bound_this_scalar,below_f32_error_bound,below_f64_error_bound,c1_row,c2_aggregate_f32,c2_aggregate_f64,c2_aggregate_ratio,c2_row,c3_row,case_index_disagreements,disc_sign_cells_changed,exact_max_ms,exact_min_ms,exact_negative,exact_positive,exact_terms,exact_zero,extract_max_ms,extract_min_ms,extract_ms,extract_repeats,f64_is_the_corrected_arm,fields_disagreeing_f32,fields_disagreeing_names,filter_certified_wrong,filter_depth_u,filter_fallbacks,filter_relative_bound,float_max_ms,float_min_ms,grid_cells,hexagon_cells_changed,inside_mask_cells_changed,joined_mask_cells_changed,max_abs_corner,min_abs_nonzero_corner,nonfinite_deltas,nonmanifold_edges_f32,nonmanifold_edges_f64,overhead_ratio_scatter,repeats,saddle_share,saddle_stage_ms,saddle_stage_scatter,samples_per_axis,sign_disagreements_f32_ambiguous,surface_cell_rate,triangles_f32,triangles_f64
gyroid,33x33x33,f32,5240,0,0,0.000000000,0.276412,0.012330,22.417843,0.054770992,0,0,true,false,true,0.005152672,27,287,287,0,false,73.915085,31.808681,54.278948,false,false,0,0,0.287682,0.271452,497,4743,12,0,1.677143,1.639183,1.640053,3,true,2,csg_difference|fbm_terrain,0,26.0,287,1.549721e-6,0.012420,0.012000,32768,0,0,0,6.124356e0,9.185297e-5,0,0,0,0.092780,9,0.001976,0.003240,0.040123,33,0,0.159912109,10656,10656
gyroid,33x33x33,f64,5240,0,0,0.000000000,0.043351,0.010580,4.097448,0.000000000,0,0,true,false,true,0.005152672,27,0,287,0,false,73.915085,31.808681,54.278948,false,false,0,0,0.050681,0.043111,497,4743,12,0,1.635873,1.600253,1.613112,3,true,2,csg_difference|fbm_terrain,0,26.0,0,2.886580e-15,0.010870,0.010170,32768,0,0,0,6.124356e0,9.185297e-5,0,0,0,0.240784,9,0.001531,0.002470,0.202429,33,0,0.159912109,10656,10656
gyroid,65x65x65,f32,21432,0,0,0.000000000,2.109567,0.049240,42.842547,0.107596118,0,0,true,false,true,0.006159015,132,2306,2306,0,false,73.915085,31.808681,54.278948,false,false,0,0,2.119577,2.104617,1040,20392,12,0,9.518235,9.359784,9.363324,3,true,2,csg_difference|fbm_terrain,0,26.0,2306,1.549721e-6,0.049740,0.049050,262144,0,0,0,6.124356e0,9.185297e-5,0,0,0,0.021105,9,0.001480,0.013860,0.005772,65,0,0.081756592,43242,43242
gyroid,65x65x65,f64,21432,0,0,0.000000000,0.176702,0.043190,4.091271,0.000000000,0,0,true,false,true,0.006159015,132,0,2306,0,false,73.915085,31.808681,54.278948,false,false,0,0,0.179952,0.176182,1040,20392,12,0,9.239323,9.142422,9.148913,3,true,2,csg_difference|fbm_terrain,0,26.0,0,2.886580e-15,0.043870,0.042850,262144,0,0,0,6.124356e0,9.185297e-5,0,0,0,0.044952,9,0.001166,0.010670,0.377694,65,0,0.081756592,43242,43242
gyroid,129x129x129,f32,86580,0,0,0.000000000,14.976178,0.199261,75.158601,0.197043197,0,0,true,false,true,0.001767152,153,17060,17060,0,false,73.915085,31.808681,54.278948,false,false,0,0,14.988748,14.955318,1745,84835,12,0,66.555845,62.238411,62.930447,3,true,2,csg_difference|fbm_terrain,0,26.0,17060,1.549721e-6,0.204242,0.198962,2097152,0,0,0,6.124356e0,2.458611e-6,0,0,0,0.028730,9,0.000734,0.046190,0.100238,129,0,0.041284561,173562,173562
gyroid,129x129x129,f64,86580,0,0,0.000000000,0.694526,0.173902,3.993778,0.000000000,0,0,true,false,true,0.001767152,153,0,17060,0,false,73.915085,31.808681,54.278948,false,false,0,0,0.867236,0.690026,1745,84835,12,0,67.803046,61.087052,61.097772,3,true,2,csg_difference|fbm_terrain,0,26.0,0,2.886580e-15,0.175091,0.172912,2097152,0,0,0,6.124356e0,2.458611e-6,0,0,0,0.267682,9,0.000510,0.031131,0.059394,129,0,0.041284561,173562,173562
fbm_terrain,33x33x33,f32,1958,0,0,0.000000000,0.038050,0.004470,8.512304,0.015832482,6,0,true,false,true,0.015321757,30,31,31,0,false,73.915085,31.808681,54.278948,false,true,0,0,0.041751,0.037950,0,1958,12,0,1.129949,1.083689,1.091208,3,true,2,csg_difference|fbm_terrain,0,26.0,31,1.549721e-6,0.004471,0.004440,32768,0,361,0,9.492358e0,3.206284e-5,0,0,0,0.106830,9,0.001365,0.001490,0.167785,33,0,0.059753418,3970,3976
fbm_terrain,33x33x33,f64,1958,0,0,0.000000000,0.015030,0.003850,3.903896,0.000000000,6,0,true,false,true,0.015321757,30,0,31,0,false,73.915085,31.808681,54.278948,false,true,0,0,0.018590,0.014980,0,1958,12,0,1.088429,1.054009,1.059688,3,true,2,csg_difference|fbm_terrain,0,26.0,0,2.886580e-15,0.003890,0.003830,32768,0,361,0,9.492358e0,3.206284e-5,0,0,0,0.255771,9,0.001236,0.001310,0.213740,33,0,0.059753418,3970,3976
fbm_terrain,65x65x65,f32,8413,0,0,0.000000000,0.284532,0.019210,14.811661,0.031380007,10,0,true,false,true,0.006894092,58,264,264,0,false,73.915085,31.808681,54.278948,false,true,0,0,0.289622,0.281002,1,8412,12,0,7.389378,7.178457,7.201957,3,true,2,csg_difference|fbm_terrain,0,26.0,264,1.549721e-6,0.019540,0.019010,262144,0,1199,0,9.621357e0,1.497041e-6,0,0,0,0.057885,9,0.000782,0.005630,0.037300,65,0,0.032093048,16932,16942
fbm_terrain,65x65x65,f64,8413,0,0,0.000000000,0.064971,0.016880,3.848993,0.000000000,10,0,true,false,true,0.006894092,58,0,264,0,false,73.915085,31.808681,54.278948,false,true,0,0,0.065380,0.064880,1,8412,12,0,7.013866,6.957255,6.964515,3,true,2,csg_difference|fbm_terrain,0,26.0,0,2.886580e-15,0.017320,0.016470,262144,0,1199,0,9.621357e0,1.497041e-6,0,0,0,0.058051,9,0.000633,0.004410,0.321995,65,0,0.032093048,16932,16942
fbm_terrain,129x129x129,f32,34540,10,0,0.000289519,1.765614,0.079211,22.290010,0.051331789,12,0,true,false,true,0.001505501,52,1773,1773,0,true,73.915085,31.808681,54.278948,false,true,0,10,1.772034,1.762253,11,34529,12,0,55.796231,52.099811,52.105021,3,true,2,csg_difference|fbm_terrain,0,26.0,1773,1.549721e-6,0.082811,0.078901,2097152,0,3235,0,9.621357e0,1.497041e-6,0,0,0,0.054902,9,0.000351,0.018270,0.238095,129,0,0.016469955,69172,69184
